115.63.129.181,80,河南信阳,0.256,0.051,HTTPS
182.96.195.230,8118,江西南昌,0.26,0.052,HTTP
180.118.131.145,24346,江苏镇江,0.647,0.129,HTTP
49.87.177.194,44343,江苏淮安,0.413,0.082,HTTP
223.241.118.180,8010,安徽,0.313,0.062,HTTPS
111.124.50.65,80,贵州遵义,0.312,0.062,HTTPS
203.88.210.121,138,广东广州,0.156,0.031,HTTP
110.81.57.181,8118,福建泉州,0.466,0.093,HTTP
218.81.152.128,25741,上海,0.425,0.085,HTTP
180.155.135.76,22587,上海,1.451,0.29,HTTPS
114.230.30.175,3128,江苏扬州,1.668,0.333,HTTP
60.167.134.156,808,安徽芜湖,0.809,0.161,HTTPS
183.52.104.175,22061,广东,1.327,0.265,HTTP
59.40.50.94,8010,广东深圳市罗湖区,0.164,0.032,HTTPS
180.112.37.159,21534,江苏无锡,0.769,0.153,HTTPS
122.4.47.44,8010,山东济南,0.516,0.103,HTTPS
60.175.196.233,39510,安徽宿州,1.254,0.25,HTTPS
49.87.147.181,35340,江苏淮安,1.085,0.217,HTTPS
218.81.239.187,21935,上海,0.385,0.077,HTTPS
121.226.154.146,31679,江苏盐城,1.772,0.354,HTTPS
49.87.205.235,44567,江苏淮安,0.554,0.11,HTTPS
120.40.134.203,20759,福建莆田,1.852,0.37,HTTPS
58.255.135.109,80,广东江门,1.221,0.244,HTTP
110.73.0.15,8123,广西防城港,0.623,0.124,HTTP
183.162.163.191,808,安徽滁州,0.232,0.046,HTTP
121.12.42.125,61234,广东江门市新会区,0.225,0.045,HTTP
114.230.216.230,808,江苏扬州,1.883,0.376,HTTPS
112.232.151.89,8118,山东济南,0.075,0.015,HTTP
121.12.42.129,61234,广东江门市新会区,0.237,0.047,HTTPS
112.228.244.235,8118,山东临沂,0.096,0.019,HTTP
115.217.253.41,44432,浙江宁波,0.476,0.095,HTTP
115.215.51.226,40807,浙江宁波,0.163,0.032,HTTP
113.122.14.5,808,山东菏泽,0.537,0.107,HTTPS
117.92.89.189,48208,江苏连云港,0.192,0.038,HTTPS
115.217.252.68,30538,浙江宁波,0.26,0.052,HTTPS
115.46.73.23,8123,广西南宁,1.393,0.278,HTTPS
180.155.133.177,27800,上海,0.137,0.027,HTTPS
49.87.146.111,21792,江苏淮安,0.142,0.028,HTTPS
115.46.69.212,8123,广西南宁,1.347,0.269,HTTPS
115.213.236.4,47661,浙江丽水,1.474,0.294,HTTPS
42.84.225.253,80,辽宁,1.981,0.396,HTTP
36.22.199.185,44391,浙江,1.361,0.272,HTTPS
36.22.199.185,44391,浙江,1.93,0.386,HTTP
